Epoch,Generator Loss,Discriminator Loss
1,0.67122626,1.3941298
2,0.75031644,1.3986394
3,0.66335034,1.3592365
4,0.7927339,1.3141828
5,0.751813,1.3119949
6,0.7000041,1.3271759
7,0.677472,1.3194578
8,0.72322524,1.3251839
9,0.8014728,1.3804255
10,0.74770147,1.3091378
11,0.7514484,1.3526534
12,0.84981716,1.3467381
13,0.8580444,1.3158426
14,0.81028175,1.3302789
15,0.7476607,1.2849826
16,0.736157,1.3258121
17,0.77337337,1.2861216
18,0.7113893,1.3189495
19,0.7983921,1.3023089
20,0.77664286,1.2616763
21,0.8156603,1.3411744
22,0.72989404,1.3522484
23,0.7951733,1.3164594
24,0.72418135,1.2779812
25,0.72247005,1.3326902
26,0.7014123,1.35565
27,0.73935646,1.3662083
28,0.7438941,1.2894764
29,0.6794388,1.3005834
30,0.72103083,1.3379297
31,0.7555233,1.3718045
32,0.69844466,1.3510202
33,0.67580235,1.4073942
34,0.7776852,1.32825
35,0.774065,1.3683738
36,0.7012886,1.3692725
37,0.82952285,1.3221002
38,0.7242019,1.3273613
39,0.780485,1.349199
40,0.76437503,1.3206658
41,0.66972274,1.3416986
42,0.7609807,1.3578863
43,0.7202717,1.3739326
44,0.81587726,1.3297629
45,0.733853,1.3215666
46,0.71886146,1.3341362
47,0.77772653,1.4149805
48,0.7026448,1.3675711
49,0.7897641,1.3738713
50,0.6956892,1.3707285
