Epoch,Generator Loss,Discriminator Loss
1,0.6871023,1.4022493
2,0.7103136,1.3909624
3,0.6672976,1.390315
4,0.6870581,1.3795452
5,0.75672525,1.3712916
6,0.6719136,1.4082565
7,0.6943075,1.3518081
8,0.6882301,1.372853
9,0.71744794,1.359045
10,0.69716996,1.3589416
11,0.6739558,1.3608632
12,0.7112297,1.3845719
13,0.67409277,1.3822373
14,0.7436216,1.3620446
15,0.6624104,1.3436817
16,0.7017195,1.3579893
17,0.6546552,1.3632417
18,0.66920394,1.3929386
19,0.67801416,1.3646967
20,0.6511714,1.3414145
21,0.6784781,1.321881
22,0.6721979,1.4299853
23,0.7302222,1.3489587
24,0.70849645,1.3685687
25,0.7050261,1.3957715
26,0.72760147,1.3838766
27,0.6969151,1.3832383
28,0.6862504,1.3860391
29,0.7116865,1.3467075
30,0.6998098,1.3629013
31,0.69401205,1.3699018
32,0.6812092,1.3604844
33,0.71715635,1.397888
34,0.72594535,1.3644624
35,0.73666954,1.3808854
36,0.7262418,1.3511851
37,0.7163529,1.3978097
38,0.7595233,1.3720059
39,0.70031774,1.3902428
40,0.7287275,1.3853836
41,0.6980293,1.403091
42,0.6872077,1.3963275
43,0.6927907,1.3672929
44,0.7088722,1.3842864
45,0.68976367,1.39448
46,0.7197096,1.370539
47,0.69306415,1.3887401
48,0.7376382,1.3745117
49,0.7392084,1.3716159
50,0.69013333,1.388027
